Air freshener,12.43,373
Alfredo sauce,10.71,280
All spice,4.14,429
Allergy medication,20.06,484
Aluminum foil,8.92,341
Anchovies,6.04,175
Antacids,10.88,184
Apple sauce,16.84,283
Apple sauce,20.77,452
Apples,14.3,229
Apricots,7.51,167
Asparagus,20.23,477
Avocados,9.38,178
Baby cookies,14.13,172
Baby food,5.82,384
Baby Items Cereal,12.69,450
Baby Lotion,6.74,170
Baby shampoo,3.25,442
Baby wash,6.32,236
Baby wipes,10.1,239
Bacon,1.68,422
Bagels,9.16,497
Baguette,14.64,475
Baking powder,6.45,198
Baking soda,17.97,214
Bananas,16.76,193
Band-aids,4.59,331
Bar soap,12.72,362
Basil,10.95,449
Basil,14.9,404
Bathroom cleaner,6.17,151
Bay leaf,14.08,490
BBQ sauce,18.73,364
Bean salad,6.26,372
Beans,13.68,220
Beans,5.54,423
Beef pot pie,5.53,315
Beets,18.3,302
Berries,11.89,238
Bisquick,6.33,205
Bleach,17.85,173
Blue berries,19.78,447
Body wash,7.91,457
Bologna,4.8,414
Bottle liners,19.44,100
Bottle nipples,12.13,235
Bottles,7.16,157
Bouillon cubes,5.46,199
Bran,9.7,439
Bread crumbs,2.82,167
Breast pads,9.24,117
Breath mints,15.99,376
Broccoli soup,15.79,432
Broccoli,14.42,145
Brown sugar,19.55,254
Brownie mix,11.27,233
Brownies,18.76,482
Brussels sprouts,7.26,375
Buns,18.1,499
Burger patties,5.04,119
Burritos,6.07,322
Butter,2.64,125
Cabbage,12.36,305
Cake mix,18.73,327
Cake,17.09,262
Candles,11.87,415
Candy,2.35,211
Cantaloupe,8.99,224
Carpet cleaner,17.84,228
Carpet freshener,19.55,424
Carrots,3.47,212
Carrots,8.22,258
Cat food,17.31,190
Cat litter,5.9,203
Catnip,15.8,202
Cauliflower,14.74,352
Celery,12.74,292
Chard,13.79,377
Cheese bread,4.31,389
Cheese slices,20.78,134
Cheese spread,12.23,373
Cheezies,19.24,458
Cherries,13.34,331
Chew toy,1.21,194
Chick peas,15.73,424
Chicken bologna,16.07,217
Chicken breast,8.56,466
Chicken flaked,9.55,128
Chicken legs,12.35,348
Chicken loaf,14.45,238
Chicken noodle soup,20.77,264
Chicken nuggets,9.4,164
Chicken pot pie,6.77,450
Chicken wings,20.08,493
Chicken,12.93,237
Chicken,14.62,448
Chili Sauce,13.83,267
Chili,3.39,328
Chip dip,11.33,304
Chips,13.34,351
Chives,20.62,285
Chocolate sauce,20.8,184
Chocolate,7.52,253
Cilantro,5.73,462
Cinnamon buns,11.27,395
Cinnamon,3.28,336
Clams,2.27,192
Cloves,12.02,365
Club soda,10.01,173
Cocoa powder,12.46,278
Cod,14.45,456
Coffee whitener,20.42,184
Coffee,18.98,286
Cold medicine,15.81,426
Collards,11.52,291
Conditioner,15.26,327
Cookies,11.12,158
Cookies,2.74,267
Corn chips,14.51,341
Corn creamed,3.44,296
Corn dogs,7.04,324
Corn flakes,20.26,192
Corn meal,13.4,276
Corn whole,12.63,281
Corn,3.06,156
Corned beef,12.87,220
Cottage cheese,15.82,116
Cotton balls,11.69,322
Cotton swabs,15.9,444
Couscous,9.27,170
Crab,7.98,451
Crackers,17.89,377
Cranberries,15.17,301
Cream cheese,3.79,136
Cream of wheat,5.8,265
Cream,4.74,213
Croissants,20.62,106
Cucumbers,11.72,180
Decorations,8.76,207
Dental/Breath bones,20.74,275
Deodorant,18.58,468
Diaper rash ointment,3.4,104
Diapers,20.37,199
Dish soap,18.64,425
Dishwasher detergent,15.18,177
Dog food,15.79,140
Doughnuts,2.1,389
Dried fruit,2.81,111
Drink crystals,13.34,158
Egg Nog,11.82,484
Egg plant,20.66,190
Egg substitute,13.79,388
Eggs,6.48,365
Endives,4.62,381
English muffins,3.88,406
Escargot (snails),15.12,442
Fabric softener,19.58,488
Facial tissue,19.8,311
Fish sticks,2.88,480
Flea collar,2.33,345
Floss,11.64,114
Flounder,16.03,145
Flour,7.57,318
Flu medicine,17.09,393
Formula,18.52,416
French bread,6.27,156
French fries,19.82,267
Fruit juice,19.86,153
Fruit salad,12.65,411
Fruit,6.24,218
Garbage bags,7.03,144
Garlic bread,1.1,360
Garlic,14.17,325
Garlic,20.72,408
Ginger,1.98,152
Glass's cleaner,15.99,467
Graham crumbles,8.15,261
Granola bars,2.88,149
Grape nuts,18.84,216
Grapefruit,14.5,284
Grapes,11.35,314
Gravy,19.94,443
Green peppers,10.1,190
Grooming comb,20,204
Ground beef,7.68,483
Ground pork,6.66,316
Gum,7.55,487
Hair color,16.81,473
Hair gel,18.04,154
Hair spray,6.03,321
Half & half,10.69,221
Halibut,3.2,312
Ham,20.83,490
Hamburger buns,5.07,293
Hamburgers,5.28,187
Hand soap,14.51,170
Hash browns,13.68,277
Hickory sticks,1.12,453
Honey comb,16.56,109
Honey nut ohs,11.3,437
Honey,5.29,290
Honeydew,5.72,347
Hot dog buns,18.36,297
Hot dogs,13.05,323
Hot sauce,12.89,366
Hot/Cold rub,11.97,164
HP sauce,14.92,188
Ice cream,12.72,387
Icing,10.28,210
Instant Noodles,16.15,313
Jam,13.68,410
Jell-O,20.58,225
Jelly,1.67,218
Juice concentrate,7.49,181
Juice,20.89,167
Kale,9.82,291
Ketchup,8.58,427
Kid's cereal,4.55,393
Kitchen cleaner,4.65,106
Kiwi,11.97,454
Kohlrabi,3.83,408
Kumquats,6.72,146
Laundry detergent,7.74,444
Lemon juice,11.9,134
Lemons,4.01,483
Lettuce,7.63,329
Life,6.88,127
Limes,5.58,427
Linguini,15.21,174
Lip balm,9.7,432
Liver,18.61,299
Lobster,16.69,116
Lunch bags,7.43,240
Mac&cheese,2.07,489
Macaroni,18.83,211
Mangoes,9.06,449
Maple syrup,13.75,431
Margarine,14.13,333
Marmalade,9.61,280
Mashed potatoes,13.35,223
Mayonnaise,8.25,202
Meat sauce,15.71,272
Meat tenderizer,9.11,407
Medicine,9.56,332
Melon,6.21,170
Milk 1%,14.53,408
Milk 2%,20.49,317
Milk chocolate,8.58,449
Mineral water,9.3,294
Mini wheats,18.9,280
Mint,14.32,192
Mixed vegetables,9.11,259
Mixers,15.77,425
Molasses,15.01,263
Montreal meat spice,15.36,482
Mosquito repellant,3.15,185
Mousse,11.02,142
Mozzarella sticks,8.26,179
Muffin Mix,2.62,366
Mushrooms,5.01,298
Muslix,5.83,243
Mussels,15.41,288
Mustard,7.67,113
Nacho chips,8.31,121
Nacho dip,14.54,390
Nail clippers,6.45,205
Napkins,17.7,121
Nectarines,1.76,314
Non-stick spray,16.68,140
Nuts,12.7,236
Nuts,8.84,381
Oat meal,5.57,316
Oatmeal,6.55,171
Oil,13.48,266
Olives,18.46,439
Onion rings,9.76,442
Onion soup,12.01,378
Onions,13.83,354
Oranges,19.3,225
Oregano,1.35,190
Oregano,19.77,452
Oven cleaner,8.15,490
Oysters,14.42,238
Oysters,15.81,179
Pabulum,8.54,493
Pancake mix,13.6,297
Pancakes,8.3,166
Papaya,20.29,312
Paper plates,13.48,380
Paper towel,2.86,249
Paper towels,11.91,109
Paprika,13.82,133
Parsley,13.03,353
Parsley,17.25,361
Parsnips,12.46,322
Pasta sauce,10.35,305
Pasta,9.2,144
Pate,18.74,229
Peaches,13.9,337
Peaches,18.4,468
Peanut butter,10.97,489
Peanuts,3.69,364
Peanuts,8.15,370
Pears,19.91,257
Pears,5.71,253
Peas,17.63,405
Peas,5.44,371
Pectin,1.56,261
Pepper,14.44,263
Pepperoni,19.74,425
Perogies,1.51,455
Pickles,10.63,428
Pie,16.13,366
Pie,20.07,481
Pineapple,15,189
Pineapple,17.37,294
Pita bread,6.66,349
Pizza snacks,1.11,136
Pizza,1.05,224
Pizza,4.55,237
Plastic containers,19.56,203
Plastic cups,18.2,448
Plastic cutlery,4.29,141
Plastic wrap,12.51,296
Plums,1.13,477
Pop,2.97,100
Popcorn,19.08,478
Popsicles,3.77,461
Pork & beans,2.34,186
Pork chops,2.13,190
Pork rinds,5.85,301
Pot scrubbers,11.09,253
Potato nuggets,16.42,158
Potato soup,18.93,133
Potatoes,17.48,159
Pretzels,1.17,211
Protein bars,11.18,194
Puffed wheat,20.32,332
Pumpernickel,11.5,116
Pumpkin,7.1,413
Radishes,17.98,337
Raisin bran,9.15,450
Raisin bread,8.01,305
Raspberries,4.25,122
Ravioli,1.31,208
Red peppers,8.72,222
Red snapper,17.83,148
Reflective collar,3.63,376
Relish,19.32,305
Rice crispies,3.63,112
Rice,4.91,216
Roast beef,20.67,409
Rotini,12.31,232
Rutabagas,13.36,410
Rye bread,5,406
Salad dressing,3.52,418
Salami,2.71,226
Salmon,14.72,339
Salmon,16.39,418
Salsa,9.8,306
Salt,15.45,322
Salt,3.22,341
Sandwich bags,10.46,217
Sandwich bread,17.81,418
Sardines,19.65,382
Sausage,4.32,335
Scrubbers,1.89,296
Seafood Frozen,10.63,199
Sealable bags,18.84,454
Shampoo,7.35,477
Shortening,10.61,467
Shreddies,20.78,375
Shrimp,17.92,378
Sorbet,8.66,304
Soup,19.55,250
Sour cream,17.68,110
Sourdough,11.34,332
Soy milk,3.12,360
Soy sauce,9.36,423
Spaghetti,17.58,158
Spam,4.97,441
Spinach,19.17,165
Sponges,5.71,283
Sport drink,14.26,209
Sprinkles,4.31,167
Sprouts,5.54,150
Squash,10.39,314
Steak sauce,6.35,268
Steak,6.92,339
Stew,5.3,277
Stir fry,7.59,262
Strawberries,15.26,428
Sugar substitute,18.82,307
Sugar,4.91,488
Sweet & sour sauce,3.88,359
Sword fish,11.78,411
Syrup,3.46,145
Taquitos,14.26,487
Tartar Sauce,19.88,363
Tater tots,9.3,445
Tea,3.55,167
Teething ointment,11.76,212
Teething ring,18.72,124
Tilapia,2.43,243
Tofu,18.57,323
Toilet bowl cleaner,9.12,327
Toilet paper,11.1,109
Toilet tank fresheners,5.65,268
Tomato paste,2.83,146
Tomato sauce,3.93,262
Tomatoes,14.12,491
Tomatoes,6.36,260
Tortillas,3.99,419
Toys,12.38,382
Trail mix,12.9,490
Treats,18.64,349
Tub&Tile cleaner,11.51,461
Tuna,13.92,387
Tuna,19.81,474
Turkey breast,19.59,416
Turkey pot pie,5.62,285
Turkey,1.31,231
Turkey,13.95,257
Turkey,8.84,186
TV dinners,3.5,463
Vacuum bags,20.37,431
Vanilla extract,11.05,188
Vector,10.12,136
Vegetables Fruits,4.14,490
Veggie burgers,1.47,340
Veggie burgers,9.39,499
Veggie dogs,7.08,318
Vinegar,5.85,238
Waffles,3.53,269
Wax paper,18.43,248
Whipping cream,13.76,347
Whole grain,19.78,212
Worcestershire sauce,15.94,156
Yams,17.7,233
Yeast,16.48,425
Yellow peppers,6.73,212
Yogurt,7.99,353
Zucchini,13.2,229
